Table,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
2.A3,,dollar,dollar,percent,percent,percent,percent,percent,percent,percent,percent,,,,,,
2.A4,,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,,,,,,
2.A20,,,,,,,,,,,,,,,,,
2.A21,,,,,,,,,,,,,,,,,
2.A30,,dollar,dollar,dollar,,,,,,,,,,,,,
2.F4,,numberThousand,numberThousand,numberThousand,,,,,,,,,,,,,
2.F5,,numberThousand,numberThousand,numberThousand,,,,,,,,,,,,,
2.F6,,numberThousand,numberThousand,numberThousand,,,,,,,,,,,,,
2.F7,,,,percent,percent,percent,percent,percent,percent,percent,percent,,,,,,
2.F8,,number,number,number,number,,,,,,,,,,,,
2.F9,,,,number,number,number,number,number,number,number,number,,,,,,
2.F11,,number,number,number,number,,,,,,,,,,,,
3.C3,,,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,,,,,
3.C5,,,number,number,number,number,number,number,percent,percent,,,,,,,
3.C6,,,,,number,number,number,number,percent,percent,percent,,,,,,
4.A2,,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,,,,,
4.A3,,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,,,,,
4.A4,,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,percent,,,,,,,
4.A6,,dollarMillion,dollarMillion,dollarMillion,dollarMillion,,,,,,,,,,,,
4.C1,,numberMillion,numberMillion,numberMillion,numberMillion,,,,,,,,,,,,
4.C2,,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,,
5.A1,,,number,dollar,number,dollar,number,dollar,,,,,,,,,
5.A1.2,,,,number,dollar,number,dollar,number,dollar,,,,,,,,
5.A1.3,,,,,,number,dollar,number,dollar,number,dollar,,,,,,
5.A1.4,,,,number,dollar,number,dollar,number,dollar,number,dollar,,,,,,
5.A3,,,,,number,dollar,number,dollar,number,dollar,,,,,,,
5.A4-M0,,number,number,number,number,number,number,number,number,number,number,number,,,,,
5.A4-M1,,dollarThousand,dollarThousand,dollarThousand,dollarThousand,dollarThousand,dollarThousand,dollarThousand,dollarThousand,dollarThousand,dollarThousand,dollarThousand,,,,,
5.A5,,,,,numberThousand,number,,,,,,,,,,,
5.A6-M0,,,,numberThousand,numberThousand,numberThousand,,,,,,,,,,,
5.A6-M1,,,,dollar,dollar,dollar,,,,,,,,,,,
5.A7,,,,,,numberThousand,dollar,,,,,,,,,,
5.A8,,,,,number,dollar,dollar,,,,,,,,,,
5.A10-M0,,,,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,,,,
5.A10-M1,,,,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,,,,
5.A10-M2,,,,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,,,,
5.A10-M3,,,,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,,,,
5.A10-M4,,,,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,,,,
5.A10-M5,,,,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,,,,
5.A17,,number,number,number,number,dollar,dollar,dollar,,,,,,,,,
5.D1,,number,percent,percent,dollar,number,percent,percent,dollar,number,percent,percent,dollar,,,,
5.D2,,,number,percent,number,percent,number,percent,,,,,,,,,
5.D3,,number,dollarThousand,number,dollarThousand,number,dollarThousand,,,,,,,,,,
5.D4,,numberThousand,number,percent,percent,percent,percent,percent,percent,percent,percent,,,,,,
5.E1,,,number,percent,number,percent,number,percent,,,,,,,,,
5.E2,,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,,,,,,,
5.F1,,number,dollarThousand,number,dollarThousand,number,dollarThousand,number,dollarThousand,number,dollarThousand,number,dollarThousand,,,,
5.F4,,number,number,number,number,dollarThousand,dollarThousand,dollarThousand,dollarThousand,,,,,,,,
5.F6,,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,,,,,,
5.F7,,,number,percent,number,percent,number,percent,number,percent,number,percent,,,,,
5.F8,,number,dollarThousand,number,dollarThousand,number,dollarThousand,number,dollarThousand,,,,,,,,
