Table,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
5.H1-M0,,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,,
5.H1-M1,,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,,
5.H2,,,,numberThousand,numberThousand,dollar,dollar,,,,,,,,,,
5.H3,,,,percent,percent,percent,percent,percent,percent,percent,percent,percent,,,,,
5.H4,,,,percent,percent,percent,percent,percent,percent,percent,percent,percent,,,,,
5.J1,,,,dollarMillion,dollarMillion,dollarMillion,dollarMillion,,,,,,,,,,
5.J2,,,,number,number,number,number,number,number,number,number,number,,,,,
5.J4,,,,dollarThousand,dollarThousand,dollarThousand,dollarThousand,dollarThousand,dollarThousand,dollarThousand,dollarThousand,dollarThousand,,,,,
5.J8,,,,number,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,dollar,dollar
5.J10,,,,number,number,number,number,number,number,number,number,number,number,number,number,number,
5.J14,,,,number,dollar,dollar,number,dollar,dollar,number,dollar,dollar,number,dollar,dollar,,
5.M1-M0.0,,,number,number,number,number,number,number,,,,,,,,,
5.M1-M0.1,,,number,number,number,number,number,number,,,,,,,,,
5.M1-M0.0,,,dollar,dollar,dollar,dollar,dollar,dollar,,,,,,,,,
5.M1-M0.1,,,dollar,dollar,dollar,dollar,dollar,dollar,,,,,,,,,
6.A1,,number,number,number,number,number,number,number,number,number,number,number,,,,,
6.A2,,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,dollar,,,,,,
6.A3,,,number,dollar,number,dollar,number,dollar,,,,,,,,,
6.A4,,,,number,dollar,number,dollar,number,dollar,,,,,,,,
6.A5,,,number,dollar,number,dollar,number,dollar,,,,,,,,,
6.A6,,,number,percent,dollar,number,percent,dollar,,,,,,,,,
6.C1,,number,percent,number,percent,number,percent,,,,,,,,,,
6.C2,,number,number,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,,,,
6.C7,,numberThousand,numberThousand,percent,numberThousand,,,,,,,,,,,,
6.D4,,number,number,number,number,,,,,,,,,,,,
6.D5,,number,dollar,number,dollar,number,dollar,number,dollar,,,,,,,,
6.D7,,,number,dollar,number,dollar,number,dollar,number,dollar,,,,,,,
6.D8,,number,number,number,number,number,,,,,,,,,,,
6.F1,,number,number,number,number,number,number,number,number,number,number,number,,,,,
6.F2,,,,number,number,number,number,number,number,number,,,,,,,
6.F3,,,,number,number,number,number,number,number,number,number,number,number,number,,,
4.A1,,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,,,,,
4.A5,,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,dollarMillion,,,,,,
5.A1.1,,,number,dollar,number,dollar,number,dollar,,,,,,,,,
5.A1.5,,,,number,dollar,number,dollar,number,dollar,,,,,,,,
5.A1.6,,,,number,dollar,number,dollar,number,dollar,,,,,,,,
5.A1.7,,,,number,dollar,number,dollar,number,dollar,,,,,,,,
5.A1.8,,number,dollar,number,dollar,number,dollar,,,,,,,,,,
5.A14-M0,,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,numberThousand,,,,,,,
5.A14-M1,,percent,percent,percent,percent,percent,percent,percent,percent,percent,,,,,,,
5.A15-M0,,,,number,number,number,number,number,number,number,,,,,,,
5.A15-M1,,,,percent,percent,percent,percent,percent,percent,percent,,,,,,,
5.A16,,number,number,number,number,dollar,dollar,dollar,dollar,,,,,,,,
5.B4,,number,percent,percent,dollar,number,percent,percent,dollar,number,percent,percent,dollar,,,,
5.B6,,,number,percent,number,percent,number,percent,,,,,,,,,
5.B7,,,number,percent,number,percent,number,percent,,,,,,,,,
6.B3,,,number,percent,number,percent,number,percent,,,,,,,,,
6.B5,,numberThousand,number,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,,,
6.B5.1,,numberThousand,number,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,,
